	idx	beta	pval	cilb	ciub	i2	tau2
ADHFE1	24751	-1.66627402728385	9.9050430409563e-15	-2.08819121442315	-1.24435684014455	98.1933461849644	0.984813419434756
APC	22696	-0.406686666739463	5.06222550619703e-06	-0.581403375549571	-0.231969957929355	95.8762008565778	0.165202240273767
CH25H	16176	-1.29016543135612	1.7534892635284e-08	-1.73893314260612	-0.841397720106125	94.0133693686287	1.01305509488812
CHST2	3891	0.26083984738372	0.271064620805875	-0.203661451932641	0.725341146700081	98.6364101030765	1.24304284108979
CNR1	15280	-1.67826627221791	0.000176772481178429	-2.55540339459589	-0.80112914983994	98.4290640545047	4.18710473970953
ELMO1	21140	-0.56069032708068	0.0189768190956935	-1.02912144171229	-0.0922592124490712	99.104608978843	1.27920173041764
EOMES	858	-0.110961675469904	0.690453948564563	-0.657067994309689	0.435144643369882	96.4838794726336	1.58871900976483
EYA4	1582	-2.013646631712	7.85821640586169e-07	-2.81275370827498	-1.21453955514902	97.5543358725159	3.5485106088252
GFRA1	3971	-2.70735725697647	9.30763402323323e-12	-3.48577314674926	-1.92894136720368	98.3516523759486	3.38845310568285
KCNA3	12952	-1.33497969059214	8.30165048333501e-06	-1.9220031245257	-0.74795625665858	96.3100430868521	1.77786713603213
KIAA0226L	4015	0.164982667510514	0.437109351046463	-0.251137319130988	0.581102654152016	96.8099190556396	0.936991231217291
LRAT	7691	-0.885132023514704	0.0326084676571866	-1.69698576268249	-0.0732782843469211	98.5803571033544	3.54151948662718
RNLS	23743	-0.676699455138571	1.71644564210317e-10	-0.884428876598251	-0.468970033678891	96.5889613550852	0.22710985643697
SALL1	1330	-0.431957952063462	0.383914388268595	-1.40429703218864	0.54038112806172	99.1139637383982	4.97529213103378
SCOC	28735	-0.137526654305628	0.206593081211609	-0.350946770115266	0.0758934615040096	98.2617038111918	0.257243643555695
SLITRK5	11086	-1.3361821798717	0.00357862628082478	-2.23518016320174	-0.437184196541656	97.9363112268017	4.51404208419981
SPATA32	16106	0.0963321175025511	0.609054063004146	-0.272847686904499	0.465511921909601	86.5871682330626	0.569262348809559
TACC2	17193	-0.279882605823134	0.117425462526173	-0.630249658501505	0.0704844468552378	98.4153692244107	0.671861395797884
TBX4	25534	0.789160461442334	0.220269283295969	-0.472636281821033	2.0509572047057	98.552128926525	8.37141322114674
TFPI2	19376	-0.511001882882711	0.115995484748889	-1.14819572758567	0.126191961820246	96.9833714350877	2.21100013631567
TLX2	4353	1.92672139230646	0.000880083079345361	0.791433326371444	3.06200945824148	96.297694432714	6.73149208860335
TMEM132C	27524	-4.72118176907087	1.61246900407266e-27	-5.57250207851254	-3.8698614596292	97.1667917735034	4.00323824501878
TRIM71	2377	0.415298553080304	0.543375473878946	-0.924092624199739	1.75468973036035	97.9906181517254	9.88530646931604
USP44	19655	-1.72167968018797	9.39404339553681e-15	-2.15724735246255	-1.28611200791338	97.54130702798	1.04795750891359
ZIK1	14611	-0.603415683952814	0.0137776687872794	-1.08358985150463	-0.123241516400998	98.9160200745602	1.32915934090107
ZNF132	624	-0.584943142222495	9.57716700068595e-06	-0.843943686385095	-0.325942598059895	98.1218549240763	0.37155329465779
ZNF345	20995	-0.133420443834036	0.262735914771006	-0.366912767404477	0.100071879736405	97.5148227118472	0.292202039628792
ZNF385B	27426	-2.37990035076815	2.10312848770836e-08	-3.21236011218474	-1.54744058935155	98.5499628171215	3.88134179309371
ZNF418	9985	-0.851239786946615	8.15798323641052e-05	-1.27472245731699	-0.427757116576235	98.6413849188743	1.0213017222411
ZNF461	6919	-0.0941839438494317	0.279284330836019	-0.264802565836796	0.0764346781379331	96.4919646090766	0.155181459930885
ZNF470	2921	-0.528012564351099	8.95522165447711e-05	-0.792197035930992	-0.263828092771206	98.0325770536914	0.38856061901087
ZNF569	26599	-0.438091594865201	6.0087731338744e-05	-0.652085618569633	-0.224097571160769	97.5203793086315	0.245913993007719
ZNF570	17221	-0.354583394896913	0.00116553161251271	-0.56860599462299	-0.140560795170836	98.0656624790372	0.253312127461465
ZNF71	27868	0.00825814402837725	0.95092059467299	-0.254706379814939	0.271222667871694	98.6911518507988	0.376802825618024
ZNF790	25958	-0.196330083445485	0.020453452569391	-0.362340657927119	-0.0303195089638505	96.5246584690305	0.144838240956092
ZNF793	14875	-0.314296502158748	0.0901757194806934	-0.677837475344178	0.0492444710266814	98.237016557712	0.742850777810795
ZNF844	26265	-0.711009656185913	2.04444539183284e-05	-1.03813632898836	-0.383882983383465	97.7752563370887	0.580642911260316
ZNF878	28393	-0.196005209942095	0.402998883438544	-0.655378102237491	0.2633676823533	94.8022478449746	1.0571694436495
