,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000165795.19,10785,-1.51181859070284,1.46592635614002e-17,-1.85920161388193,-1.16443556752376,98.4585777648086,0.680418363815672,NDRG2
ENSG00000168356.10,54106,-2.05403447796477,3.60042499250375e-15,-2.56569918919105,-1.54236976673848,97.2008965351355,1.38654231112121,SCN11A
ENSG00000198624.11,37733,-1.8236330144277,4.25534201441165e-14,-2.29685986853226,-1.35040616032314,98.623291806678,1.23162259465901,CCDC69
ENSG00000154262.11,27092,-2.16868416103907,4.32506680826125e-14,-2.73160839013807,-1.60575993194007,98.2142335823826,1.75473886065717,ABCA6
ENSG00000104332.10,56547,-3.64876041362428,5.86389547887911e-13,-4.64151807922226,-2.65600274802629,98.9961762390904,5.60534522760476,SFRP1
ENSG00000189058.7,53427,-2.00898137936861,1.20019799209163e-09,-2.65657849132729,-1.36138426740994,97.8019721939084,2.28570163920723,APOD
ENSG00000019991.14,31185,-1.53702571262912,6.64865156690144e-09,-2.05646366895883,-1.0175877562994,98.2015372575548,1.51695786588766,HGF
