,idx,beta,pval,cilb,ciub,i2,tau2,symbol
ENSG00000133247.12,43783,0.900416303129901,3.91301459448024e-42,0.770668904396986,1.03016370186282,88.4391212245609,0.0797276286645997,KMT5C
ENSG00000168505.6,8995,5.41971785942262,2.3829090808341e-28,4.45775767841836,6.38167804042689,92.8476748353634,4.41492408576231,GBX2
ENSG00000089685.13,53190,2.87584545776721,2.63399473962714e-19,2.24837893624711,3.50331197928731,97.4797454843126,2.11241596911649,BIRC5
ENSG00000138778.10,1976,1.93892262515635,2.54848566669973e-18,1.50361305857985,2.37423219173285,97.6550827850312,1.03801376389009,CENPE
ENSG00000165795.19,10785,-1.51181859070284,1.46592635614002e-17,-1.85920161388193,-1.16443556752376,98.4585777648086,0.680418363815672,NDRG2
ENSG00000164932.11,2160,2.24346554554329,4.84593332094703e-17,1.71939938718861,2.76753170389796,96.2597463314167,1.42042410772053,CTHRC1
ENSG00000168356.10,54106,-2.05403447796477,3.60042499250375e-15,-2.56569918919105,-1.54236976673848,97.2008965351355,1.38654231112121,SCN11A
ENSG00000198624.11,37733,-1.8236330144277,4.25534201441165e-14,-2.29685986853226,-1.35040616032314,98.623291806678,1.23162259465901,CCDC69
ENSG00000154262.11,27092,-2.16868416103907,4.32506680826125e-14,-2.73160839013807,-1.60575993194007,98.2142335823826,1.75473886065717,ABCA6
ENSG00000170779.10,28211,1.17611211635594,9.45266221310915e-14,0.86662847307411,1.48559575963777,98.4178595715011,0.524242920979327,CDCA4
ENSG00000104332.10,56547,-3.64876041362428,5.86389547887911e-13,-4.64151807922226,-2.65600274802629,98.9961762390904,5.60534522760476,SFRP1
ENSG00000168393.11,24318,0.885015221805053,1.46730187912423e-11,0.628079550656639,1.14195089295347,97.9861004301339,0.369211986737,DTYMK
ENSG00000137692.10,9583,0.616214538121459,2.80010366672552e-11,0.434780028591979,0.797649047650939,97.6207360819746,0.179113200482083,DCUN1D5
ENSG00000132436.10,21281,0.769278594441006,5.33607603828415e-10,0.526439895134415,1.0121172937476,97.9762593691409,0.332086403978238,FIGNL1
ENSG00000205857.1,26844,0.825802340022563,6.3410076923091e-10,0.563974741176367,1.08762993886876,79.3481373385728,0.280516274415891,NANOGNB
ENSG00000189058.7,53427,-2.00898137936861,1.20019799209163e-09,-2.65657849132729,-1.36138426740994,97.8019721939084,2.28570163920723,APOD
ENSG00000019991.14,31185,-1.53702571262912,6.64865156690144e-09,-2.05646366895883,-1.0175877562994,98.2015372575548,1.51695786588766,HGF
ENSG00000105865.9,52627,0.501456276412912,1.00897105039616e-08,0.329908092100774,0.67300446072505,97.8124885067371,0.166818922501643,DUS4L
ENSG00000265972.4,49398,-1.11414229566065,1.39541324051981e-08,-1.49900266849685,-0.729281922824459,97.98482208274,0.825580797823968,TXNIP
ENSG00000101407.11,18150,0.462959526966193,1.66402411834484e-08,0.302182244200228,0.623736809732158,98.6105779055366,0.145322071460332,TTI1
ENSG00000080200.8,33671,-0.925864336109606,1.86356807000771e-08,-1.2485158991407,-0.60321277307851,95.5084314418775,0.515293315148074,CRYBG3
ENSG00000204548.3,32409,0.189197754877454,2.24045627241524e-07,0.117585746622739,0.260809763132169,93.1533093548555,0.0177325404635049,DEFB121
ENSG00000075188.7,58891,0.572318370618523,3.9746052572073e-07,0.351078570981186,0.793558170255859,98.8587760712966,0.279992913373104,NUP37
ENSG00000197969.10,48007,-0.255885284571328,4.21822860272011e-07,-0.355023883928635,-0.156746685214021,82.6252796403394,0.0399154113324803,VPS13A
ENSG00000115594.10,35559,-0.880348861846733,1.10006315482602e-06,-1.23444476918126,-0.526252954512206,98.320747988671,0.678788637123446,IL1R1
ENSG00000117385.14,44455,0.684160888539394,1.10705715333022e-06,0.408905441300448,0.959416335778341,98.6727078958142,0.423289359754109,P3H1
ENSG00000198062.13,59233,0.958599549097187,1.19810767965528e-06,0.571688545877402,1.34551055231697,94.9390748603028,0.730811414735965,POTEH
ENSG00000100485.10,37070,-0.390734592497018,1.46460196602185e-06,-0.549751368044084,-0.231717816949953,97.1685000401053,0.138667509669444,SOS2
ENSG00000203797.8,9267,-1.08772665288025,1.53950393636215e-06,-1.53131551272216,-0.644137793038337,98.1958717904548,1.08810261084171,DDO
ENSG00000176915.13,30505,0.365414861842205,1.69820185529233e-06,0.215781811542802,0.515047912141607,98.3356117373625,0.123914966280616,ANKLE2
ENSG00000198015.11,45379,0.202636010844599,2.5118243206772e-06,0.118262706138756,0.287009315550441,93.683551808552,0.0356599489890096,MRPL42
ENSG00000116183.9,31489,-2.34968974664219,5.36255225235394e-06,-3.36182739567157,-1.33755209761281,98.5036987289061,5.73581421369671,PAPPA2
ENSG00000229937.5,14375,1.12830616078896,7.28190507105847e-06,0.635262114436267,1.62135020714165,95.9112449610499,1.0848080067171,PRPS1L1
ENSG00000131849.10,1241,-0.584940404373014,9.57655867092758e-06,-0.843938934185427,-0.325941874560601,98.1218558914436,0.371547319819458,ZNF132
ENSG00000161202.16,9735,0.392805862678758,1.17838858842316e-05,0.217095069753039,0.568516655604477,98.3358502158815,0.170266092755452,DVL3
ENSG00000164972.11,39139,-1.25394829943632,1.28002712581169e-05,-1.81718838119664,-0.690708217675997,97.3004693254248,1.78670906754924,C9orf24
ENSG00000068097.13,45243,0.283659814289013,2.57633465919415e-05,0.151539528634891,0.415780099943136,95.7665693127667,0.0921128676525729,HEATR6
ENSG00000156858.10,19557,0.29821718773871,2.63414928843746e-05,0.159150649405912,0.437283726071508,96.9013533218182,0.101455244252997,PRR14
